2022-12-05 12:44:48: == Sinc. comenzada por User Command
2022-12-05 12:44:49: Copiar Nueva 'D:/Marcos Muni/inspecobrasMdb/src/public/img/uploads/1670254437826.jpg' -> '//WALTERSOTELO-PC/SistemaObras/src/public/img/uploads/1670254437826.jpg' (69,193)
2022-12-05 12:44:49: Copiar Nueva 'D:/Marcos Muni/inspecobrasMdb/src/public/img/uploads/1670254616298.jpg' -> '//WALTERSOTELO-PC/SistemaObras/src/public/img/uploads/1670254616298.jpg' (1,384,569)
2022-12-05 12:44:49: Copiar Sobre 'D:/Marcos Muni/inspecobrasMdb/src/models/estadistica.js' -> '//WALTERSOTELO-PC/SistemaObras/src/models/estadistica.js' (2,906)
2022-12-05 12:44:49: Copiar Nueva 'D:/Marcos Muni/inspecobrasMdb/src/public/img/uploads/1670254616379.jpg' -> '//WALTERSOTELO-PC/SistemaObras/src/public/img/uploads/1670254616379.jpg' (517,593)
2022-12-05 12:44:49: Copiar Nueva 'D:/Marcos Muni/inspecobrasMdb/src/public/img/uploads/1670254616330.png' -> '//WALTERSOTELO-PC/SistemaObras/src/public/img/uploads/1670254616330.png' (1,753,195)
2022-12-05 12:44:49: Copiar Nueva 'D:/Marcos Muni/inspecobrasMdb/src/public/img/uploads/1670254616397.jpg' -> '//WALTERSOTELO-PC/SistemaObras/src/public/img/uploads/1670254616397.jpg' (683,712)
2022-12-05 12:44:49: Copiar Nueva 'D:/Marcos Muni/inspecobrasMdb/src/public/img/uploads/1670254616414.jpg' -> '//WALTERSOTELO-PC/SistemaObras/src/public/img/uploads/1670254616414.jpg' (638,707)
2022-12-05 12:44:49: Copiar Nueva 'D:/Marcos Muni/inspecobrasMdb/src/public/img/uploads/1670254616428.jpg' -> '//WALTERSOTELO-PC/SistemaObras/src/public/img/uploads/1670254616428.jpg' (2,042,989)
2022-12-05 12:44:49: Copiar Nueva 'D:/Marcos Muni/inspecobrasMdb/src/public/img/uploads/1670254616469.jpg' -> '//WALTERSOTELO-PC/SistemaObras/src/public/img/uploads/1670254616469.jpg' (3,961,476)
2022-12-05 12:44:50: Copiar Nueva 'D:/Marcos Muni/inspecobrasMdb/src/public/img/uploads/1670254616527.jpg' -> '//WALTERSOTELO-PC/SistemaObras/src/public/img/uploads/1670254616527.jpg' (451,841)
2022-12-05 12:44:50: Copiar Nueva 'D:/Marcos Muni/inspecobrasMdb/src/public/img/uploads/1670254876825.jpg' -> '//WALTERSOTELO-PC/SistemaObras/src/public/img/uploads/1670254876825.jpg' (2,042,989)
2022-12-05 12:44:50: Copiar Nueva 'D:/Marcos Muni/inspecobrasMdb/src/public/img/uploads/1670254876805.jpg' -> '//WALTERSOTELO-PC/SistemaObras/src/public/img/uploads/1670254876805.jpg' (638,707)
